watch_id,name,brand,price,material,reference,condition,image_url
53,Pre-Owned Rolex Sea-Dweller Ref 16600 Black Dial,Rolex,10595.0,Stainless Steel,16600,Used,https://www.bobswatches.com/images/zUsed-Rolex-Sea-Dweller-16600-SKU185241.jpg
54,Used Rolex Datejust 36 Steel 16220 Silver Dial,Rolex,6595.0,Stainless Steel,16220,Used,https://www.bobswatches.com/images/zUsed-Rolex-Datejust-36-16220-SKU186123.jpg
55,Pre-Owned Rolex Submariner Ref 126619 Cookie Monster,Rolex,38995.0,White Gold,126619LB,Used,https://www.bobswatches.com/images/zUsed-Rolex-Submariner-126619-Black-Dial-SKU185845.jpg
56,Grand Seiko Sport Collection SBGM247 Green Dial,Grand Seiko,4495.0,Stainless Steel,SBGM247,Used,https://www.bobswatches.com/grand-seiko/images/zUsed-Grand-Seiko-Sport-SBGM247-SKU-184771.jpg
57,Oris Aquis Date Taste of Summer Green Dial,Oris,1595.0,Stainless Steel,01 733 7787 4137-07 8 22 04PEB,New,https://www.bobswatches.com/oris/images/zOris-Aquis-01-733-7787-4137-07-8-22-04PEB-SKU185140.jpg
58,Used Rolex Yacht-Master II Ref 116681 White Dial,Rolex,23495.0,Steel and Rose Gold,116681,Used,https://www.bobswatches.com/images/zUsed-Rolex-Yacht-Master-II-116681-White-Chromalight-Dial-SKU186015-PL.jpg
59,Used Rolex Datejust 41 Ref 126334 Slate Wimbledon Dial,Rolex,17295.0,Stainless Steel,126334,Used,https://www.bobswatches.com/images/zUsed-Rolex-Datejust-41-126334-SKU187004.jpg
60,Pre-Owned Rolex Cosmograph Daytona 126519 Steel Dial,Rolex,54995.0,White Gold,126519,Used,https://www.bobswatches.com/images/zUsed-Rolex-Daytona-126519-SKU184673-PL.jpg
61,Pre-Owned Rolex Datejust 41 126334 Mother of Pearl Diamond Dial,Rolex,16595.0,Stainless Steel,126334BLDO,Used,https://www.bobswatches.com/images/zUsed-Rolex-Datejust-41-126334-SKU185324.jpg
62,Used Rolex Comsograph Daytona 116500 Stainless Steel,Rolex,31495.0,Stainless Steel,116500,Used,https://www.bobswatches.com/images/zRolex-Daytona-116500-SKU187438-PL.jpg
63,Pre-Owned Rolex Stainless Steel Submariner 124060 No Date Dial,Rolex,14895.0,Stainless Steel,124060,Used,https://www.bobswatches.com/images/zUsed-Rolex-Submariner-124060-SKU187439-PL.jpg
64,Pre-Owned Rolex Sea-Dweller Deepsea Ref 116660 Black Dial,Rolex,11595.0,Stainless Steel,116660,Used,https://www.bobswatches.com/images/zUsed-Rolex-Sea-Dweller-116660-SKU186197.jpg
65,Pre-Owned Rolex Datejust 36 Ref 16013 Champagne Tapestry Dial,Rolex,6595.0,Steel and Gold,16013,Used,https://www.bobswatches.com/images/zUsed-Rolex-Datejust-16013-SKU185250.jpg
66,Pre-Owned White Chronograph Dial Rolex Daytona 126500,Rolex,38495.0,Stainless Steel,126500,Used,https://www.bobswatches.com/images/zUsed-Rolex-Daytona-126500-SKU187265.jpg
67,Pre-Owned Rolex Submariner 126613LB Blue Chromalight Dial,Rolex,19895.0,Steel and Gold,126613BLSO,Used,https://www.bobswatches.com/images/zUsed-Rolex-Submariner-126613-SKU187134.jpg
68,Pre-Owned Rolex Explorer 36 Ref 124270 Stainless Steel,Rolex,9495.0,Stainless Steel,124270,Used,https://www.bobswatches.com/images/zUsed-Rolex-Explorer-124270-SKU187426-PL.jpg
69,Pre-Owned Rolex Datejust 41 Ref 126333 Fluted Motif Champagne Dial,Rolex,18495.0,Steel and Gold,126333,Used,https://www.bobswatches.com/images/zUsed-Rolex-Datejust-41-126333-SKU187460-PL.jpg
70,Used Steel Rolex Submariner 124060 No Date Dial,Rolex,14995.0,Stainless Steel,124060,Used,https://www.bobswatches.com/images/zUsed-Rolex-Submariner-124060-SKU187045-PL.jpg
71,Pre-Owned White Dial Rolex Daytona 116520,Rolex,21995.0,Stainless Steel,116520,Used,https://www.bobswatches.com/images/zUsed-Rolex-Daytona-116520-SKU186798.jpg
72,Pre-Owned Rolex Daytona 116515 Baguette Diamond Dial,Rolex,49495.0,Rose Gold,116515,Used,https://www.bobswatches.com/images/zUsed-Rolex-Daytona-116515-186113.jpg
73,Pre-Owned Rolex Day-Date 40 Platinum 228206 Meteorite Dial,Rolex,84995.0,Platinum,228206,Used,https://www.bobswatches.com/images/zUsed-Rolex-Day-Date-40-228206-SKU186921.jpg
74,Pre-Owned Rolex GMT-Master II Ref 126718 Black Dial,Rolex,44995.0,Yellow Gold,126718,Used,https://www.bobswatches.com/images/zUsed-Rolex-GMT-Master-II-126718-186375.jpg
75,Men's Rolex Sky-Dweller ref 336235 Slate Dial,Rolex,49495.0,Rose Gold,336235,Used,https://www.bobswatches.com/images/zUsed-Rolex-Sky-Dweller-336235-SKU185220.jpg
76,Pre-Owned Rolex Land-Dweller 36 Ref 127234 Oystersteel,Rolex,26995.0,Stainless Steel,127234,Used,https://www.bobswatches.com/images/zUsed-Rolex-Land-Dweller-127234-SKU187415-PL.jpg
77,Used Rolex Milgauss 116400 Black Dial,Rolex,9995.0,Stainless Steel,116400,Used,https://www.bobswatches.com/images/zUsed-Rolex-Milgauss-116400-SKU186058.jpg
78,Used Batman Rolex GMT-Master II ref 116710BLNR,Rolex,15995.0,Stainless Steel,116710,Used,https://www.bobswatches.com/images/zUsed-Rolex-GMT-Master-II-116710BLNR-SKU186467.jpg
79,Pre-Owned Rolex Daytona 116515 Chocolate Arabic Dial,Rolex,35495.0,Rose Gold,116515CHOAR,Used,https://www.bobswatches.com/images/zUsed-Rolex-Daytona-116515-SKU187156.jpg
80,Pre-Owned Breitling Chronomat B01 42 18k Red Gold,Breitling,18495.0,Rose Gold,RB0134101B1S1,Used,https://www.bobswatches.com/breitling/images/zUsed-Breitling-Chronomat-RB0134101B1S1-SKU187218.jpg
81,Pre-Owned Pepsi Rolex GMT-Master II Steel 16710,Rolex,15995.0,Stainless Steel,16710,Used,https://www.bobswatches.com/images/zUsed-Rolex-GMT-Master-II-16710-SKU186997.jpg
82,Pre-Owned Rolex Datejust 31 Ref 178241 Slate Roman Dial,Rolex,11995.0,Steel and Rose Gold,178271,Used,https://www.bobswatches.com/images/zUsed-Rolex-Datejust-31-178241-SKU184757.jpg
83,Pre-Owned Rolex Lady Datejust 179384 Diamond Dial,Rolex,14995.0,Stainless Steel,179384,Used,https://www.bobswatches.com/images/zUsed-Rolex-Ladies-Datejust-179384-SKU185943.jpg
84,Pre-Owned Ladies Rolex Datejust 31 ref 6827 18k Yellow Gold,Rolex,12995.0,Yellow Gold,6827,Used,https://www.bobswatches.com/images/zUsed-Rolex-Datejust-31-6827-SKU186297.jpg
85,Pre-Owned Lady Rolex Oyster Perpetual 67193 Black Diamond Dial,Rolex,6995.0,Steel and Gold,67193,Used,https://www.bobswatches.com/images/zUsed-Rolex-Oyster-Perpetual-67193-SKU186110.jpg
86,Pre-Owned Rolex Day-Date 36 Ref 18248 Barked Finish,Rolex,19995.0,Yellow Gold,18248,Used,https://www.bobswatches.com/images/zUsed-Rolex-Day-Date-36-18248-SKU187230.jpg
87,Pre-Owned Rolex Ladies Datejust 79173 Black Diamond Dial,Rolex,8995.0,Steel and Gold,79173,Used,https://www.bobswatches.com/images/zUsed-Rolex-Lady-Datejust-79173-SKU186072.jpg
88,Pre-Owned Rolex Ladies Oyster Perpetual 76080 Silver Dial,Rolex,4495.0,Stainless Steel,76080,Used,https://www.bobswatches.com/images/zUsed-Rolex-Oyster-Perpetual-76080-SKU186751.jpg
89,Pre-Owned Rolex Lady Datejust 69173 Champagne Dial,Rolex,5995.0,Steel and Gold,69173,Used,https://www.bobswatches.com/images/zUsed-Rolex-Lady-Datejust-69173-SKU183195.jpg
